id,source_type,source,field_or_context,arabic_text,english_translation,treatment,translation_note
SMART-I18N-0191,frontend_legacy_static_data,frontend/src/data/allProjects.ts:85,double,واجهة متجاوبة,Responsive Interface,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0192,frontend_legacy_static_data,frontend/src/data/allProjects.ts:85,double,نظام سلة تسوق ذكي,Smart Shopping Cart System,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0193,frontend_legacy_static_data,frontend/src/data/allProjects.ts:98 | frontend/src/data/projects-data.ts:68,double,منصة فزعة,Fazaa Platform,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0194,frontend_legacy_static_data,frontend/src/data/allProjects.ts:99 | frontend/src/data/allProjects.ts:121 | frontend/src/data/projects-data.ts:69 | frontend/src/data/projects-data.ts:82,double,قيد التطوير,Under Development,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0195,frontend_legacy_static_data,frontend/src/data/allProjects.ts:100 | frontend/src/data/projects-data.ts:71,double,منصة إلكترونية لتأجير واستئجار الخدمات والمعدات,Online Platform for Renting Services and Equipment,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0196,frontend_legacy_static_data,frontend/src/data/allProjects.ts:101,double,تطبيق متكامل للتأجير بين الأفراد مع تكامل للخرائط والتحقق.,An integrated peer-to-peer rental app with maps and verification integration.,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0197,frontend_legacy_static_data,frontend/src/data/allProjects.ts:104,double,تكامل مع خرائط Google,Google Maps Integration,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0198,frontend_legacy_static_data,frontend/src/data/allProjects.ts:105,double,لوحات تحكم مخصصة,Custom Dashboards,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0199,frontend_legacy_static_data,frontend/src/data/allProjects.ts:106,double,تكامل مع السجل المدني السعودي,Integration with the Saudi Civil Registry,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0200,frontend_legacy_static_data,frontend/src/data/allProjects.ts:120 | frontend/src/data/projects-data.ts:81,double,مشروع بثواني,Bithawani Project,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0201,frontend_legacy_static_data,frontend/src/data/allProjects.ts:122 | frontend/src/data/projects-data.ts:84,double,تطبيق ومنصة للربط الفوري بين مقدمي الخدمات والعملاء,App and Platform for Instantly Connecting Service Providers and Customers,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0202,frontend_legacy_static_data,frontend/src/data/allProjects.ts:123,double,منصة ذكية لتسهيل التواصل الفوري وتنفيذ الطلبات.,A smart platform that facilitates instant communication and request fulfillment.,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0203,frontend_legacy_static_data,frontend/src/data/allProjects.ts:125 | frontend/src/data/projects-data.ts:87,double,نظام طلبات سريع,Fast Request System,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0204,frontend_legacy_static_data,frontend/src/data/allProjects.ts:125,double,واجهة مستخدم مبنية بأحدث التقنيات,User Interface Built with Modern Technologies,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0205,frontend_legacy_static_data,frontend/src/data/blog-data.ts:26,double,أفضل 5 استراتيجيات لإطلاق SaaS في السوق العربي,Top 5 Strategies for Launching SaaS in the Arab Market,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0206,frontend_legacy_static_data,frontend/src/data/blog-data.ts:27,double,دليل عملي لبدء مشروع SaaS ناجح في المنطقة العربية مع تجنب الأخطاء الشائعة,A practical guide to launching a successful SaaS business in the Arab region while avoiding common mistakes,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0207,frontend_legacy_static_data,frontend/src/data/blog-data.ts:28,double,15 مايو 2025,"May 15, 2025",verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0208,frontend_legacy_static_data,frontend/src/data/blog-data.ts:29,double,8 دقائق,8 minutes,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0209,frontend_legacy_static_data,frontend/src/data/blog-data.ts:30,double,منتجات SaaS,SaaS Products,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0210,frontend_legacy_static_data,frontend/src/data/blog-data.ts:31,double,إطلاق المنتج,Product Launch,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0211,frontend_legacy_static_data,frontend/src/data/blog-data.ts:31,double,ريادة الأعمال,Entrepreneurship,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0212,frontend_legacy_static_data,frontend/src/data/blog-data.ts:33,jsx,مقدمة,Introduction,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0213,frontend_legacy_static_data,frontend/src/data/blog-data.ts:34,jsx,إطلاق منتج SaaS في السوق العربي يتطلب فهمًا عميقًا للثقافة والتحديات الفريدة في المنطقة. في هذا المقال، سنستعرض أهم الاستراتيجيات التي تساعدك على دخول السوق بثقة وتجنب الأخطاء الشائعة.,"Launching a SaaS product in the Arab market requires a deep understanding of the region’s culture and unique challenges. In this article, we explore the most important strategies that can help you enter the market confidently and avoid common mistakes.",verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0214,frontend_legacy_static_data,frontend/src/data/blog-data.ts:36,jsx,1. فهم الجمهور العربي,1. Understand the Arab Audience,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0215,frontend_legacy_static_data,frontend/src/data/blog-data.ts:37,jsx,الجمهور العربي يختلف عن غيره في عدة نواحي:,The Arab audience differs from others in several ways:,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0216,frontend_legacy_static_data,frontend/src/data/blog-data.ts:39,jsx,الاعتماد الكبير على الهواتف الذكية,Heavy reliance on smartphones,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0217,frontend_legacy_static_data,frontend/src/data/blog-data.ts:40,jsx,تفضيل الدفع النقدي أو التحويل البنكي,Preference for cash payments or bank transfers,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0218,frontend_legacy_static_data,frontend/src/data/blog-data.ts:41,jsx,الحساسية للأسعار مقارنة بالدول الغربية,Greater price sensitivity compared with Western markets,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0219,frontend_legacy_static_data,frontend/src/data/blog-data.ts:44,jsx,2. البدء بـ MVP واضح,2. Start with a Clear MVP,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0220,frontend_legacy_static_data,frontend/src/data/blog-data.ts:45,jsx,النموذج الأولي (MVP) يجب أن يركز على حل مشكلة واحدة بشكل ممتاز بدلاً من عشرات الميزات المتوسطة. بعض النصائح:,Your MVP should focus on solving one problem exceptionally well rather than offering dozens of average features. Here are a few tips:,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0221,frontend_legacy_static_data,frontend/src/data/blog-data.ts:47,jsx,حدد الميزة الأساسية التي تميزك,Identify the core feature that sets you apart,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0222,frontend_legacy_static_data,frontend/src/data/blog-data.ts:48,jsx,اختبر مع مستخدمين حقيقيين مبكرًا,Test with real users early,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0223,frontend_legacy_static_data,frontend/src/data/blog-data.ts:49,jsx,استخدم أدوات لا-code لاختبار الفكرة قبل الاستثمار في التطوير,Use no-code tools to validate the idea before investing in development,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0224,frontend_legacy_static_data,frontend/src/data/blog-data.ts:52,jsx,3. التسويق المسبق قبل البرمجة,3. Pre-Market Before Development,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0225,frontend_legacy_static_data,frontend/src/data/blog-data.ts:53,jsx,70% من مشاريع SaaS تفشل بسبب عدم وجود طلب كافٍ في السوق. يمكنك تجنب ذلك عن طريق:,70% of SaaS projects fail because there is not enough market demand. You can reduce this risk by:,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0226,frontend_legacy_static_data,frontend/src/data/blog-data.ts:55,jsx,إنشاء صفحة هبوط وقياس الاهتمام,Create a landing page and measure interest,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0227,frontend_legacy_static_data,frontend/src/data/blog-data.ts:56,jsx,جمع رسائل البريد الإلكتروني للمهتمين,Collect email addresses from interested users,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0228,frontend_legacy_static_data,frontend/src/data/blog-data.ts:57,jsx,إنشاء محتوى تعليمي حول المشكلة التي تحلها,Create educational content around the problem you solve,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0229,frontend_legacy_static_data,frontend/src/data/blog-data.ts:60,jsx,4. الشركات المبكرة,4. Early Partnerships,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0230,frontend_legacy_static_data,frontend/src/data/blog-data.ts:61,jsx,الشراكات المحلية يمكن أن تعطي دفعة قوية لعملك:,Local partnerships can give your business a strong boost:,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0231,frontend_legacy_static_data,frontend/src/data/blog-data.ts:63,jsx,ابحث عن شركات مكملة لخدمتك,Look for companies that complement your service,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0232,frontend_legacy_static_data,frontend/src/data/blog-data.ts:64,jsx,قدم قيمة لهم أولاً قبل طلب المساعدة,Offer value first before asking for help,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0233,frontend_legacy_static_data,frontend/src/data/blog-data.ts:65,jsx,استفد من شبكات الأعمال المحلية,Leverage local business networks,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0234,frontend_legacy_static_data,frontend/src/data/blog-data.ts:68,jsx,5. دعم عربي ممتاز من اليوم الأول,5. Excellent Arabic Support from Day One,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0235,frontend_legacy_static_data,frontend/src/data/blog-data.ts:69,jsx,الدعم الفني باللغة العربية وبطريقة تناسب الثقافة المحلية هو ما يميزك عن المنافسين العالميين. استثمر في:,"Technical support in Arabic, delivered in a way that fits the local culture, can differentiate you from global competitors. Invest in:",verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0236,frontend_legacy_static_data,frontend/src/data/blog-data.ts:71,jsx,دردشة مباشرة بالعربية,Live chat in Arabic,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0237,frontend_legacy_static_data,frontend/src/data/blog-data.ts:72,jsx,فريق دعم متاح خلال أوقات العمل المحلية,A support team available during local business hours,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0238,frontend_legacy_static_data,frontend/src/data/blog-data.ts:73,jsx,فيديوهات تعليمية باللهجة المحلية,Educational videos in the local dialect,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0239,frontend_legacy_static_data,frontend/src/data/blog-data.ts:76,jsx,الخاتمة,Conclusion,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0240,frontend_legacy_static_data,frontend/src/data/blog-data.ts:77,jsx,إطلاق SaaS في العالم العربي يحتاج إلى أكثر من مجرد منتج جيد. التركيز على هذه الاستراتيجيات الخمس سيعطيك أفضل فرصة للنجاح في سوق سريع النمو ولكنه مليء بالتحديات الفريدة.,Launching a SaaS product in the Arab world requires more than a good product. Focusing on these five strategies gives you a better chance of succeeding in a fast-growing market with unique challenges.,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0241,frontend_legacy_static_data,frontend/src/data/blog-data.ts:80,double,أحمد محمد,Ahmed Mohammed,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0242,frontend_legacy_static_data,frontend/src/data/blog-data.ts:81,double,خبير منتجات SaaS,SaaS Product Expert,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0243,frontend_legacy_static_data,frontend/src/data/blog-data.ts:86,double,كيف تحدد سعر منتجك الرقمي؟,How Do You Price Your Digital Product?,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0244,frontend_legacy_static_data,frontend/src/data/blog-data.ts:88,double,أبريل 2025,April 2025,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0245,frontend_legacy_static_data,frontend/src/data/blog-data.ts:91,double,أدوات لا غنى عنها لفرق SaaS الناشئة,Essential Tools for Early-Stage SaaS Teams,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0246,frontend_legacy_static_data,frontend/src/data/blog-data.ts:93,double,مارس 2025,March 2025,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0247,frontend_legacy_static_data,frontend/src/data/projects-data.ts:18,double,منصة الوفرة أونلاين,Al-Wafrah Online Platform,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0248,frontend_legacy_static_data,frontend/src/data/projects-data.ts:21,double,منصة تعليمية رقمية متكاملة,Integrated Digital Learning Platform,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0249,frontend_legacy_static_data,frontend/src/data/projects-data.ts:24,double,مجتمع خاص للمستخدمين,Private User Community,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0250,frontend_legacy_static_data,frontend/src/data/projects-data.ts:25,double,لوحة تحكم متقدمة للمدربين والطلاب,Advanced Dashboard for Trainers and Students,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0251,frontend_legacy_static_data,frontend/src/data/projects-data.ts:26,double,نظام دورات تفاعلي,Interactive Course System,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0252,frontend_legacy_static_data,frontend/src/data/projects-data.ts:37,double,حجز وتخصيص الهدايا,Gift Booking and Customization,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0253,frontend_legacy_static_data,frontend/src/data/projects-data.ts:38,double,واجهة مستخدم أنيقة ومتجاوبة,Elegant and Responsive User Interface,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0254,frontend_legacy_static_data,frontend/src/data/projects-data.ts:46,double,تطبيق وموقع لمتاجر الكف الأخضر - صنعاء، اليمن,"App and Website for Al-Kaff Al-Akhdar Stores - Sana’a, Yemen",verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0255,frontend_legacy_static_data,frontend/src/data/projects-data.ts:74,double,خرائط Google لتحديد المواقع,Google Maps for Location Services,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0256,frontend_legacy_static_data,frontend/src/data/projects-data.ts:75,double,تكامل API مع الأحوال المدنية السعودية,API Integration with Saudi Civil Affairs,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0257,frontend_legacy_static_data,frontend/src/data/projects-data.ts:76,double,لوحة تحكم مخصصة للمؤجر والمستأجر,Custom Dashboard for Landlords and Renters,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0258,frontend_legacy_static_data,frontend/src/data/projects-data.ts:88,double,تقنيات حديثة,Modern Technologies,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-1227,backend_source_example,backend/src/hosting-packages/dto/create-hosting-package.dto.ts:201,single,"50GB (تكفي لحوالي 10,000 زائر شهرياً)","50GB (enough for approximately 10,000 monthly visitors)",developer-doc/example; localize only if exposed,Developer/API example text; localize only if it is exposed to end users.
SMART-I18N-1228,backend_source_example,backend/src/hosting-packages/dto/create-hosting-package.dto.ts:202,single,2GB (مناسب للمواقع متوسطة الحجم),2GB (suitable for medium-sized websites),developer-doc/example; localize only if exposed,Developer/API example text; localize only if it is exposed to end users.
SMART-I18N-1229,backend_source_example,backend/src/hosting-packages/dto/create-hosting-package.dto.ts:203,single,2 vCPU (أداء سريع للعمليات المعقدة),2 vCPU (fast performance for complex operations),developer-doc/example; localize only if exposed,Developer/API example text; localize only if it is exposed to end users.
SMART-I18N-1230,backend_source_example,backend/src/hosting-packages/dto/create-package-selection.dto.ts:22 | backend/src/testimonials/dto/create-testimonial.dto.ts:16 | backend/src/leads/dto/create-lead.dto.ts:27,single,أحمد محمد,Ahmed Mohammed,developer-doc/example; localize only if exposed,Developer/API example text; localize only if it is exposed to end users.
SMART-I18N-1231,backend_source_example,backend/src/hosting-packages/dto/create-package-selection.dto.ts:47,single,شركة التجارة الإلكترونية,E-Commerce Company,developer-doc/example; localize only if exposed,Developer/API example text; localize only if it is exposed to end users.
