id,source_type,source,field_or_context,arabic_text,english_translation,treatment,translation_note
SMART-I18N-0567,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:72 | frontend/src/admin/pages/about/AboutForm.tsx:241 | frontend/src/admin/pages/technologies/TechnologyForm.tsx:105 | frontend/src/admin/pages/company-info/CompanyInfoForm.tsx:115 | frontend/src/admin/pages/project-categories/ProjectCategoryForm.tsx:83 | frontend/src/admin/pages/services/ServiceForm.tsx:95 | frontend/src/admin/pages/faqs/FAQForm.tsx:57,single | double,فشل التحديث,Update failed,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0568,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:72 | frontend/src/admin/pages/technologies/TechnologyForm.tsx:105 | frontend/src/admin/pages/project-categories/ProjectCategoryForm.tsx:83 | frontend/src/admin/pages/services/ServiceForm.tsx:95 | frontend/src/admin/pages/faqs/FAQForm.tsx:57,single | double,فشل الإضافة,Add failed,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0569,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:79,single,تعديل الباقة,Edit Package,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0570,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:79,single,إضافة باقة جديدة,Add New Package,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0571,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:84,jsx,معلومات الباقة,Package Information,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0572,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:88,jsx,الاسم *,Name *,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0573,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:93 | frontend/src/admin/pages/blog/BlogList.tsx:72 | frontend/src/admin/pages/blog/BlogList.tsx:168 | frontend/src/admin/pages/projects/ProjectsList.tsx:106 | frontend/src/admin/pages/faqs/FAQForm.tsx:76,jsx | double | single,التصنيف,Category,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0574,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:105 | frontend/src/admin/pages/about/AboutForm.tsx:345 | frontend/src/admin/pages/about/AboutForm.tsx:509 | frontend/src/admin/pages/about/AboutForm.tsx:629 | frontend/src/admin/pages/project-categories/ProjectCategoryForm.tsx:140,jsx,الوصف,Description,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0575,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:110,jsx,السعر *,Price *,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0576,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:114,jsx,العملة,Currency,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0577,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:118,jsx,دورة الفوترة,Billing Cycle,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0578,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:132,jsx,المواصفات التقنية,Technical Specifications,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0579,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:134,double,>المساحة</Label><Input {...register('storage')} className=,>Storage</Label><Input {...register('storage')} className=,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0580,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:134,jsx,المساحة,Storage,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0581,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:135,double,>الباندويث</Label><Input {...register('bandwidth')} className=,>Bandwidth</Label><Input {...register('bandwidth')} className=,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0582,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:135,jsx,الباندويث,Bandwidth,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0583,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:138,double,>النطاقات</Label><Input {...register('domains')} className=,>Domains</Label><Input {...register('domains')} className=,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0584,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:138,jsx,النطاقات,Domains,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0585,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:143,jsx,الميزات,Features,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0586,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:144 | frontend/src/admin/pages/hosting/HostingForm.tsx:171 | frontend/src/admin/pages/technologies/TechnologyForm.tsx:269 | frontend/src/admin/pages/project-categories/ProjectCategoryForm.tsx:205 | frontend/src/admin/pages/services/ServiceForm.tsx:282 | frontend/src/admin/pages/faqs/FAQForm.tsx:95,jsx | single | double,إضافة,Add,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0587,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:149,double,ميزة...,Feature...,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0588,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:158 | frontend/src/admin/pages/testimonials/TestimonialForm.tsx:142 | frontend/src/admin/pages/team/TeamForm.tsx:400,jsx,الإعدادات,Settings,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0589,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:160 | frontend/src/admin/pages/hosting/HostingList.tsx:78 | frontend/src/admin/pages/testimonials/TestimonialForm.tsx:166 | frontend/src/admin/pages/testimonials/TestimonialsList.tsx:95 | frontend/src/admin/pages/team/TeamForm.tsx:408 | frontend/src/admin/pages/project-categories/ProjectCategoriesList.tsx:107 | frontend/src/admin/pages/project-categories/ProjectCategoryForm.tsx:177 | frontend/src/admin/pages/services/ServiceForm.tsx:254 | frontend/src/admin/pages/services/ServicesList.tsx:111 | frontend/src/admin/pages/services/ServicesList.tsx:137 | frontend/src/admin/pages/faqs/FAQForm.tsx:89,jsx | single,نشط,Active,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0590,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:161 | frontend/src/admin/pages/hosting/HostingList.tsx:46,jsx,شائعة,Popular,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0591,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:162 | frontend/src/admin/pages/hosting/HostingList.tsx:47,jsx,أفضل قيمة,Best Value,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0592,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:163,double,>ترتيب العرض</Label><Input type=,>Display Order</Label><Input type=,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0593,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:163 | frontend/src/admin/pages/testimonials/TestimonialForm.tsx:169 | frontend/src/admin/pages/team/TeamForm.tsx:450 | frontend/src/admin/pages/project-categories/ProjectCategoryForm.tsx:151 | frontend/src/admin/pages/services/ServiceForm.tsx:159 | frontend/src/admin/pages/faqs/FAQForm.tsx:80,jsx,ترتيب العرض,Display Order,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0594,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:169 | frontend/src/admin/pages/testimonials/TestimonialForm.tsx:177 | frontend/src/admin/pages/faqs/FAQForm.tsx:93 | frontend/src/admin/components/shared/ConfirmDialog.tsx:30,jsx | single,إلغاء,Cancel,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0595,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:171 | frontend/src/admin/pages/technologies/TechnologyForm.tsx:267 | frontend/src/admin/pages/project-categories/ProjectCategoryForm.tsx:203 | frontend/src/admin/pages/services/ServiceForm.tsx:280 | frontend/src/admin/pages/faqs/FAQForm.tsx:95,single | double,تحديث,Update,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0596,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:171 | frontend/src/admin/pages/testimonials/TestimonialForm.tsx:179 | frontend/src/admin/pages/faqs/FAQForm.tsx:95,jsx,جاري الحفظ...,Saving...,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0597,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:28,single,تم حذف الباقة بنجاح,Package deleted successfully,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0598,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:31,single,فشل حذف الباقة,Failed to delete package,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0599,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:37,single,الباقة,Package,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0600,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:56,single,السعر,Price,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0601,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:66,single,المواصفات,Specifications,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0602,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:76 | frontend/src/admin/pages/blog/BlogList.tsx:84 | frontend/src/admin/pages/testimonials/TestimonialsList.tsx:91 | frontend/src/admin/pages/team/TeamList.tsx:89 | frontend/src/admin/pages/leads/LeadsList.tsx:308 | frontend/src/admin/pages/projects/ProjectsList.tsx:139,single | double,الحالة,Status,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0603,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:78,double,>نشط</Badge> : <Badge variant=,>Active</Badge> : <Badge variant=,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0604,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:78 | frontend/src/admin/pages/testimonials/TestimonialsList.tsx:97 | frontend/src/admin/pages/project-categories/ProjectCategoriesList.tsx:107 | frontend/src/admin/pages/services/ServicesList.tsx:111 | frontend/src/admin/pages/services/ServicesList.tsx:137 | frontend/src/admin/pages/faqs/FAQsList.tsx:74,jsx | single,غير نشط,Inactive,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0605,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:83 | frontend/src/admin/pages/blog/BlogList.tsx:133 | frontend/src/admin/pages/testimonials/TestimonialsList.tsx:105 | frontend/src/admin/pages/team/TeamList.tsx:124 | frontend/src/admin/pages/leads/LeadsList.tsx:339 | frontend/src/admin/pages/projects/ProjectsList.tsx:168,single | double,الإجراءات,Actions,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0606,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:95,double,فشل تحميل باقات الاستضافة,Failed to load hosting packages,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0607,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:99 | frontend/src/admin/components/layout/Breadcrumb.tsx:12 | frontend/src/admin/components/layout/Sidebar.tsx:44,double,باقات الاستضافة,Hosting Packages,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0608,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:99,double,إدارة باقات وخطط الاستضافة,Manage hosting packages and plans,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0609,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:99,double,إضافة باقة,Add Package,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0610,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:100,double,لا توجد باقات,No packages found,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0611,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:101,double,حذف الباقة,Delete Package,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0612,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:101,double,هل أنت متأكد من حذف هذه الباقة؟,Are you sure you want to delete this package?,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0613,frontend_admin_static,frontend/src/admin/pages/hosting/HostingList.tsx:101 | frontend/src/admin/pages/blog/BlogList.tsx:191 | frontend/src/admin/pages/testimonials/TestimonialsList.tsx:127 | frontend/src/admin/pages/team/TeamList.tsx:194 | frontend/src/admin/pages/leads/LeadsList.tsx:727 | frontend/src/admin/pages/technologies/TechnologiesList.tsx:145 | frontend/src/admin/pages/projects/ProjectsList.tsx:204 | frontend/src/admin/pages/projects/ProjectsList.tsx:304 | frontend/src/admin/pages/project-categories/ProjectCategoriesList.tsx:151 | frontend/src/admin/pages/services/ServicesList.tsx:200 | frontend/src/admin/pages/faqs/FAQsList.tsx:100,double,حذف,Delete,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0614,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:37 | frontend/src/admin/pages/about/AboutForm.tsx:42 | frontend/src/admin/pages/about/AboutForm.tsx:50 | frontend/src/admin/pages/about/AboutForm.tsx:59 | frontend/src/admin/pages/projects/ProjectForm.tsx:32 | frontend/src/admin/pages/company-info/CompanyInfoForm.tsx:16 | frontend/src/admin/pages/services/ServiceForm.tsx:20,double,العنوان مطلوب,Title is required,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0615,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:38 | frontend/src/admin/pages/projects/ProjectForm.tsx:33,double,الرابط مطلوب,Slug is required,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0616,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:39 | frontend/src/admin/pages/testimonials/TestimonialForm.tsx:26,double | single,المحتوى مطلوب,Content is required,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0617,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:187,double,تم تحديث المقال بنجاح,Article updated successfully,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0618,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:187,double,تم إنشاء المقال بنجاح,Article created successfully,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0619,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:190,double,فشل تحديث المقال,Failed to update article,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0620,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:190,double,فشل إنشاء المقال,Failed to create article,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0621,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:215,double,تعديل المقال,Edit Article,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0622,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:220 | frontend/src/admin/pages/testimonials/TestimonialsList.tsx:57 | frontend/src/admin/pages/leads/LeadsList.tsx:562,jsx | single,المحتوى,Content,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0623,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:221 | frontend/src/admin/pages/blog/BlogForm.tsx:255,jsx,التصنيف والوسوم,Category and Tags,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0624,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:222 | frontend/src/admin/pages/blog/BlogForm.tsx:276,jsx,الغلاف والكاتب,Cover and Author,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0625,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:224,jsx,CTA والمعاينة,CTA and Preview,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0626,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:225,jsx,النشر,Publishing,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0627,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:230,jsx,معلومات المقال,Article Information,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0628,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:233 | frontend/src/admin/pages/about/AboutForm.tsx:401 | frontend/src/admin/pages/about/AboutForm.tsx:447 | frontend/src/admin/pages/about/AboutForm.tsx:555 | frontend/src/admin/pages/about/AboutForm.tsx:601 | frontend/src/admin/pages/about/AboutForm.tsx:665 | frontend/src/admin/pages/company-info/CompanyInfoForm.tsx:139 | frontend/src/admin/pages/services/ServiceForm.tsx:138,double | jsx,العنوان *,Title *,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0629,frontend_admin_static,frontend/src/admin/pages/blog/BlogForm.tsx:236,template,المقتطف (${excerpt.length}/160),Excerpt (${excerpt.length}/160),i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
