id,source_type,source,field_or_context,arabic_text,english_translation,treatment,translation_note
SMART-I18N-1312,database_public_cms,abouts.json::doc#1,mission,مهمتنا هي مساعدة المشاريع على الانتقال من فكرة مبعثرة إلى منتج رقمي واضح، منظم، وسهل الاستخدام، عبر مزيج متكامل من التخطيط، التصميم، التطوير، الإطلاق، والتحسين المستمر.,"Our mission is to help projects move from a scattered idea to a clear, well-structured, and easy-to-use digital product through an integrated combination of planning, design, development, launch, and continuous improvement.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1313,database_public_cms,abouts.json::doc#1,approach,نعمل بمنهجية تبدأ بفهم الهدف والسوق والمستخدم، ثم نترجم ذلك إلى تجربة استخدام واضحة، ونبنيها بتقنيات مستقرة قابلة للتوسع، ثم نتابع التحسين بعد الإطلاق بناءً على البيانات والتجربة الواقعية.,"Our methodology starts with understanding the objective, market, and user. We then translate that into a clear user experience, build it with stable and scalable technologies, and continue improving after launch based on data and real-world usage.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1314,database_public_cms,abouts.json::doc#1,values[0].title,لا نبدأ قبل فهم الهدف,We Don’t Start Before Understanding the Goal,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1315,database_public_cms,abouts.json::doc#1,values[0].description,كل قرار تصميمي أو تقني يجب أن يخدم هدفًا واضحًا للمشروع والمستخدم.,Every design and technical decision must serve a clear objective for the project and the user.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1316,database_public_cms,abouts.json::doc#1,values[0].example,قبل التصميم نسأل: ما القرار الذي نريد من المستخدم اتخاذه؟,"Before we design, we ask: what decision do we want the user to make?",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1317,database_public_cms,abouts.json::doc#1,values[1].title,الجمال يجب أن يخدم الوضوح,Beauty Must Serve Clarity,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1318,database_public_cms,abouts.json::doc#1,values[1].description,نؤمن أن الواجهة الاحترافية ليست زخرفة فقط، بل وضوح وترتيب وثقة وسهولة استخدام.,"We believe a professional interface is not decoration alone; it is clarity, structure, trust, and ease of use.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1319,database_public_cms,abouts.json::doc#1,values[1].example,نقلل الضجيج البصري ونرفع وضوح الرسالة والزر الأساسي.,We reduce visual noise and increase the clarity of the message and primary action.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1320,database_public_cms,abouts.json::doc#1,values[2].title,لا نبني شيئًا يصعب تطويره,We Don’t Build Things That Are Hard to Evolve,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1321,database_public_cms,abouts.json::doc#1,values[2].description,نهتم بالبنية والتنظيم من البداية حتى لا يتحول المشروع إلى عبء عند التوسع.,We care about architecture and organization from the start so the project does not become a burden as it scales.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1322,database_public_cms,abouts.json::doc#1,values[2].example,نفصل المكونات ونراعي قابلية إعادة الاستخدام وتوسع البيانات.,We separate components and design for reusability and data growth.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1323,database_public_cms,abouts.json::doc#1,values[3].title,نتعامل كشريك لا كمورد,"We Work as a Partner, Not a Supplier",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1324,database_public_cms,abouts.json::doc#1,values[3].description,نناقش، نقترح، ونصحح الاتجاه عندما نرى أن القرار لا يخدم المشروع.,"We discuss, recommend, and correct course when we believe a decision does not serve the project.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1325,database_public_cms,abouts.json::doc#1,values[3].example,إذا كان المطلوب غير مناسب، نقترح بديلًا يخدم الهدف بشكل أفضل.,"If a requested approach is not suitable, we propose an alternative that better serves the goal.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1326,database_public_cms,abouts.json::doc#1,stats[0].label,مشروع رقمي,Digital Projects,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1327,database_public_cms,abouts.json::doc#1,stats[0].description,بين مواقع تعريفية، متاجر إلكترونية، تطبيقات، أنظمة تشغيلية، ولوحات تحكم.,"Across corporate websites, e-commerce stores, applications, operational systems, and dashboards.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1328,database_public_cms,abouts.json::doc#1,stats[1].label,أنواع حلول,Solution Types,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1329,database_public_cms,abouts.json::doc#1,stats[1].description,مواقع، تطبيقات، متاجر، أنظمة SaaS، لوحات إدارة، وأتمتة تشغيلية.,"Websites, applications, e-commerce stores, SaaS systems, admin dashboards, and operational automation.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1330,database_public_cms,abouts.json::doc#1,stats[2].label,قطاعات تعاملنا معها,Industries Served,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1331,database_public_cms,abouts.json::doc#1,stats[2].description,تجارة، خدمات، تعليم، تقنية، محتوى، مشاريع ناشئة، وحلول داخلية.,"Commerce, services, education, technology, content, startups, and internal solutions.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1332,database_public_cms,abouts.json::doc#1,stats[3].suffix,مراحل,Stages,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1333,database_public_cms,abouts.json::doc#1,stats[3].label,منهجية تنفيذ,Delivery Methodology,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1334,database_public_cms,abouts.json::doc#1,stats[3].description,من الاكتشاف والتخطيط إلى التصميم، التطوير، الاختبار، الإطلاق، والتحسين.,"From discovery and planning through design, development, testing, launch, and improvement.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1335,database_public_cms,abouts.json::doc#1,cta.title,هل لديك فكرة وتريد تحويلها إلى منتج رقمي حقيقي؟,Do you have an idea you want to turn into a real digital product?,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1336,database_public_cms,abouts.json::doc#1,cta.description,شاركنا فكرتك، وسنساعدك على تحويلها إلى تجربة واضحة، نظام مستقر، وإطلاق احترافي قابل للنمو.,"Share your idea with us, and we’ll help you turn it into a clear experience, a stable system, and a professional launch built for growth.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1337,database_public_cms,abouts.json::doc#1,cta.secondaryButtonText,استعرض أعمالنا,Explore Our Work,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1338,database_public_cms,abouts.json::doc#1,differentiators[0].title,نفهم المنتج وليس الكود فقط,"We Understand the Product, Not Just the Code",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1339,database_public_cms,abouts.json::doc#1,differentiators[0].description,نتعامل مع كل مشروع كسير عمل وتجربة وهدف تجاري، وليس مجرد صفحات يتم تنفيذها.,"We treat every project as a workflow, an experience, and a business objective—not merely a set of pages to implement.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1340,database_public_cms,abouts.json::doc#1,differentiators[1].title,نجمع التصميم والتطوير والتشغيل,"We Bring Design, Development, and Operations Together",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1341,database_public_cms,abouts.json::doc#1,differentiators[1].description,نربط بين واجهة المستخدم، الباك إند، لوحة التحكم، وسهولة إدارة المحتوى بعد التسليم.,"We connect the user interface, backend, admin dashboard, and the ease of managing content after delivery.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1342,database_public_cms,abouts.json::doc#1,differentiators[2].title,نستخدم التقنية حيث تصنع قيمة,We Use Technology Where It Creates Value,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1343,database_public_cms,abouts.json::doc#1,differentiators[2].description,نستفيد من الأتمتة والذكاء الاصطناعي والتكاملات عندما تخدم المشروع فعليًا لا لمجرد الاستعراض.,"We use automation, artificial intelligence, and integrations when they genuinely serve the project—not for show.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1344,database_public_cms,abouts.json::doc#1,differentiators[3].title,نبني على أساس قابل للنمو,We Build on a Foundation Designed for Growth,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1345,database_public_cms,abouts.json::doc#1,differentiators[3].description,نهتم بالبنية، الأداء، الأمان، وتجربة الإدارة حتى يكون المشروع قابلًا للتطوير لاحقًا.,"We focus on architecture, performance, security, and the admin experience so the project can evolve later.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1346,database_public_cms,abouts.json::doc#1,process[0].title,الاكتشاف والتحليل,Discovery and Analysis,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1347,database_public_cms,abouts.json::doc#1,process[0].description,نحدد الهدف، الجمهور، نطاق المشروع، الأولويات، والمشاكل التي يجب حلها.,"We define the objective, audience, project scope, priorities, and the problems that need to be solved.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1348,database_public_cms,abouts.json::doc#1,process[0].deliverable,ملخص المتطلبات وخريطة أولية للحل,Requirements Summary and Initial Solution Map,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1349,database_public_cms,abouts.json::doc#1,process[1].title,هيكلة التجربة,Experience Architecture,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1350,database_public_cms,abouts.json::doc#1,process[1].description,نرتب الصفحات، رحلة المستخدم، تدفق البيانات، والمنطق الأساسي قبل التصميم.,"We organize pages, the user journey, data flow, and core logic before design begins.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1351,database_public_cms,abouts.json::doc#1,process[2].title,تصميم الواجهة,Interface Design,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1352,database_public_cms,abouts.json::doc#1,process[2].description,نصمم واجهة احترافية تعكس الهوية وتخدم الاستخدام والتحويل.,We design a professional interface that reflects the brand and supports usability and conversion.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1353,database_public_cms,abouts.json::doc#1,process[2].deliverable,UI Design قابل للتنفيذ,Implementation-Ready UI Design,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1354,database_public_cms,abouts.json::doc#1,process[3].title,التطوير والربط,Development and Integration,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1355,database_public_cms,abouts.json::doc#1,process[3].description,نبني الواجهات، الباك إند، لوحة التحكم، وربط البيانات والتكاملات المطلوبة.,"We build the interfaces, backend, admin dashboard, data connections, and required integrations.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1356,database_public_cms,abouts.json::doc#1,process[3].deliverable,نسخة عملية قابلة للاختبار,"A Working, Testable Version",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1357,database_public_cms,abouts.json::doc#1,process[4].title,الاختبار والتحسين,Testing and Optimization,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1358,database_public_cms,abouts.json::doc#1,process[4].description,نراجع الأداء، الأخطاء، التجاوب، سهولة الاستخدام، وجودة التجربة النهائية.,"We review performance, defects, responsiveness, usability, and the quality of the final experience.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1359,database_public_cms,abouts.json::doc#1,process[4].deliverable,نسخة محسنة قبل الإطلاق,An Optimized Pre-Launch Version,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1360,database_public_cms,abouts.json::doc#1,process[5].title,الإطلاق والتسليم,Launch and Handover,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1361,database_public_cms,abouts.json::doc#1,process[5].description,نطلق المشروع، نضبط الإعدادات الأساسية، ونسلم لوحة التحكم وطريقة الاستخدام.,"We launch the project, configure the essential settings, and hand over the admin dashboard and usage guidance.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1362,database_public_cms,abouts.json::doc#1,process[5].deliverable,إطلاق رسمي ومستندات تشغيل مختصرة,Official Launch and Concise Operating Documentation,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1363,database_public_cms,abouts.json::doc#1,process[6].title,النمو والتطوير المستمر,Growth and Continuous Improvement,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1364,database_public_cms,abouts.json::doc#1,process[6].description,نراجع تجربة الاستخدام والبيانات ونقترح تحسينات بعد الإطلاق.,We review user experience and data and recommend improvements after launch.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1365,database_public_cms,abouts.json::doc#1,process[6].deliverable,خطة تحسين مستمرة,Continuous Improvement Plan,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1366,database_public_cms,abouts.json::doc#1,seo.metaTitle,من نحن | وكالة سمارت للحلول الرقمية والبرمجية,About Us | Smart Agency for Digital & Software Solutions,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1367,database_public_cms,abouts.json::doc#1,seo.metaDescription,تعرف على وكالة سمارت: شريك تقني يساعد الشركات على بناء مواقع، تطبيقات، متاجر، وأنظمة رقمية احترافية قابلة للنمو.,"Learn about Smart Agency, a technology partner that helps businesses build professional, scalable websites, applications, e-commerce stores, and digital systems.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1368,database_public_cms,abouts.json::doc#1,seo.keywords[0],وكالة سمارت,Smart Agency,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1369,database_public_cms,abouts.json::doc#1,seo.keywords[1],شركة برمجة,Software Company,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1370,database_public_cms,abouts.json::doc#1,seo.keywords[2],تصميم مواقع,Web Design,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1371,database_public_cms,abouts.json::doc#1,seo.keywords[3],تطوير تطبيقات,App Development,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1372,database_public_cms,abouts.json::doc#1,seo.keywords[4],حلول رقمية,Digital Solutions,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1373,database_public_cms,abouts.json::doc#1,seo.keywords[5],وكالة تقنية,Technology Agency,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1374,database_public_cms,abouts.json::doc#1,story.title,لماذا وُجدت سمارت؟,Why Was Smart Created?,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1375,database_public_cms,abouts.json::doc#1,story.description,كثير من المشاريع لا تفشل بسبب ضعف الفكرة، بل بسبب ضعف تحويلها إلى تجربة واضحة ونظام قابل للتشغيل. لذلك وُجدت سمارت لتكون الجسر بين الفكرة والتنفيذ الحقيقي.,"Many projects do not fail because the idea is weak, but because the idea is poorly translated into a clear experience and an operable system. Smart was created to bridge the gap between an idea and real execution.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1376,database_public_cms,abouts.json::doc#1,story.painPoints[0],أفكار قوية تضيع بسبب تنفيذ تقليدي لا يفهم السوق.,Strong ideas are lost through conventional execution that does not understand the market.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1377,database_public_cms,abouts.json::doc#1,story.painPoints[1],واجهات جميلة ظاهريًا لكنها لا تقود المستخدم لاتخاذ قرار.,Interfaces can look beautiful yet fail to guide users toward a decision.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1378,database_public_cms,abouts.json::doc#1,story.painPoints[2],مشاريع تُبنى بسرعة لكنها تصبح صعبة التطوير بعد الإطلاق.,Projects are built quickly but become difficult to evolve after launch.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1379,database_public_cms,abouts.json::doc#1,story.painPoints[3],غياب شريك تقني يفهم المنتج والعميل والنمو معًا.,"A technology partner who understands the product, customer, and growth together is often missing.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1380,database_public_cms,abouts.json::doc#1,story.closingStatement,نحن لا نتعامل مع المشروع كتصميم أو كود فقط، بل كنظام رقمي يجب أن يخدم هدفًا واضحًا ويستطيع النمو مع الوقت.,"We do not treat a project as design or code alone, but as a digital system that must serve a clear objective and be able to grow over time.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1381,database_public_cms,abouts.json::doc#1,teamNote.title,فريق صغير بعقلية تنفيذ كبيرة,A Small Team with a Big Execution Mindset,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1382,database_public_cms,abouts.json::doc#1,teamNote.description,نؤمن أن قوة الوكالة لا تقاس بعدد الأشخاص فقط، بل بوضوح المنهجية، جودة التنفيذ، وسرعة تحويل الأفكار إلى نتائج. نعمل كفريق متكامل يجمع بين التفكير المنتج، التصميم، البرمجة، والتشغيل.,"We believe an agency’s strength is not measured by headcount alone, but by the clarity of its methodology, quality of execution, and speed in turning ideas into results. We work as one integrated team combining product thinking, design, development, and operations.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1383,database_public_cms,abouts.json::doc#1,teamNote.highlights[0],تواصل مباشر وواضح خلال مراحل التنفيذ,Direct and clear communication throughout delivery,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1384,database_public_cms,abouts.json::doc#1,teamNote.highlights[1],قرارات مبنية على هدف المشروع لا على الذوق فقط,"Decisions based on the project goal, not taste alone",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1385,database_public_cms,abouts.json::doc#1,teamNote.highlights[2],اهتمام بالتفاصيل من أول شاشة حتى لوحة التحكم,Attention to detail from the first screen to the admin dashboard,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1386,database_public_cms,abouts.json::doc#1,thinking[0].title,نفهم قبل أن نصمم,We Understand Before We Design,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1387,database_public_cms,abouts.json::doc#1,thinking[0].description,نبدأ بفهم الهدف التجاري، طبيعة الجمهور، رحلة المستخدم، والمشكلة التي يجب أن يحلها المنتج.,"We begin by understanding the business objective, audience, user journey, and the problem the product needs to solve.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1388,database_public_cms,abouts.json::doc#1,thinking[0].result,مخرجات أوضح قبل الدخول في التصميم والتنفيذ.,Clearer outputs before entering design and implementation.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1389,database_public_cms,abouts.json::doc#1,thinking[1].title,نصمم تجربة تقود المستخدم,We Design an Experience That Guides the User,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1390,database_public_cms,abouts.json::doc#1,thinking[1].description,لا نكتفي بواجهة جميلة؛ نصمم رحلة استخدام تقلل التشتت وتزيد وضوح القرار لدى العميل.,We go beyond a beautiful interface; we design a user journey that reduces distraction and makes the customer’s decision clearer.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1391,database_public_cms,abouts.json::doc#1,thinking[1].result,تجربة استخدام أكثر وضوحًا وقابلية للتحويل.,A clearer user experience with stronger conversion potential.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1392,database_public_cms,abouts.json::doc#1,thinking[2].title,نبني بنظام قابل للتوسع,We Build for Scalability,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1393,database_public_cms,abouts.json::doc#1,thinking[2].description,نراعي بنية الكود، تنظيم الواجهات، واجهات API، لوحة التحكم، وقابلية التطوير بعد الإطلاق.,"We account for code architecture, interface organization, APIs, the admin dashboard, and the ability to evolve after launch.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1394,database_public_cms,abouts.json::doc#1,thinking[2].result,منتج مستقر لا ينهار عند أول توسع.,A stable product that does not break at the first stage of growth.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1395,database_public_cms,abouts.json::doc#1,thinking[3].title,نقيس ونحسن بعد الإطلاق,We Measure and Improve After Launch,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1396,database_public_cms,abouts.json::doc#1,thinking[3].description,نؤمن أن الإطلاق ليس النهاية، بل بداية مرحلة تحسين مستمرة بناءً على الاستخدام والبيانات.,"We believe launch is not the end, but the beginning of continuous improvement based on usage and data.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1397,database_public_cms,abouts.json::doc#1,thinking[3].result,تحسين مستمر بدل تسليم جامد.,Continuous improvement instead of a static handover.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1398,database_public_cms,blogs.json::دليل شامل لتطوير تطبيقات الويب الحديثة,title | seo.metaTitle,دليل شامل لتطوير تطبيقات الويب الحديثة,A Comprehensive Guide to Modern Web Application Development,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1399,database_public_cms,blogs.json::دليل شامل لتطوير تطبيقات الويب الحديثة,content,"<h2>مقدمة</h2>
        <p>تطوير تطبيقات الويب الحديثة يتطلب فهماً عميقاً للتقنيات والأدوات المتاحة. في هذا المقال، سنستكشف أفضل الممارسات والطرق الحديثة لتطوير تطبيقات ويب قوية وقابلة للتوسع.</p>
        
        <h2>اختيار التقنيات المناسبة</h2>
        <p>اختيار التقنيات المناسبة هو الخطوة الأولى في بناء تطبيق ويب ناجح. يجب أن تأخذ في الاعتبار متطلبات المشروع، حجم الفريق، والموارد المتاحة.</p>
        
        <h2>أفضل الممارسات</h2>
        <ul>
          <li>استخدام TypeScript لتحسين جودة الكود</li>
          <li>تطبيق مبادئ SOLID</li>
          <li>كتابة اختبارات شاملة</li>
          <li>استخدام CI/CD للتحسين المستمر</li>
        </ul>","<h2>Introduction</h2>
        <p>Modern web application development requires a deep understanding of the available technologies and tools. In this article, we explore modern approaches and best practices for building powerful, scalable web applications.</p>
        
        <h2>Choosing the Right Technologies</h2>
        <p>Choosing the right technologies is the first step in building a successful web application. You should consider the project requirements, team size, and available resources.</p>
        
        <h2>Best Practices</h2>
        <ul>
          <li>Use TypeScript to improve code quality</li>
          <li>Apply SOLID principles</li>
          <li>Write comprehensive tests</li>
          <li>Use CI/CD for continuous improvement</li>
        </ul>",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1400,database_public_cms,blogs.json::دليل شامل لتطوير تطبيقات الويب الحديثة,excerpt,دليل شامل يغطي جميع جوانب تطوير تطبيقات الويب الحديثة من اختيار التقنيات إلى أفضل الممارسات,"A comprehensive guide covering every aspect of modern web application development, from technology selection to best practices",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1401,database_public_cms,blogs.json::دليل شامل لتطوير تطبيقات الويب الحديثة,tags[0] | seo.keywords[0],تطوير الويب,Web Development,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
